x,r,u,p,e
0.383203, 0.650306, 0.487351, 0.547796, 2.10592
0.383984, 0.64837, 0.490583, 0.545517, 2.10342
0.384766, 0.646438, 0.493816, 0.543246, 2.10092
0.385547, 0.644511, 0.497049, 0.540982, 2.09842
0.386328, 0.642588, 0.500283, 0.538726, 2.09592
0.387109, 0.640669, 0.503518, 0.536478, 2.09343
0.387891, 0.638754, 0.506754, 0.534237, 2.09093
0.388672, 0.636844, 0.50999, 0.532003, 2.08844
0.389453, 0.634937, 0.513227, 0.529778, 2.08594
0.390234, 0.633035, 0.516465, 0.527559, 2.08345
0.391016, 0.631137, 0.519703, 0.525349, 2.08096
0.391797, 0.629243, 0.522942, 0.523146, 2.07847
0.392578, 0.627354, 0.526181, 0.52095, 2.07598
0.393359, 0.625468, 0.529422, 0.518762, 2.07349
0.394141, 0.623587, 0.532662, 0.516581, 2.07101
0.394922, 0.62171, 0.535904, 0.514408, 2.06852
0.395703, 0.619837, 0.539146, 0.512242, 2.06604
0.396484, 0.617968, 0.542388, 0.510084, 2.06355
0.397266, 0.616104, 0.545631, 0.507933, 2.06107
0.398047, 0.614244, 0.548875, 0.50579, 2.05859
0.398828, 0.612387, 0.552119, 0.503654, 2.05611
0.399609, 0.610536, 0.555363, 0.501525, 2.05363
0.400391, 0.608688, 0.558609, 0.499404, 2.05115
0.401172, 0.606844, 0.561854, 0.49729, 2.04867
0.401953, 0.605005, 0.565101, 0.495183, 2.04619
0.402734, 0.60317, 0.568347, 0.493084, 2.04372
0.403516, 0.601339, 0.571594, 0.490992, 2.04125
0.404297, 0.599512, 0.574842, 0.488908, 2.03877
0.405078, 0.59769, 0.57809, 0.48683, 2.0363
0.405859, 0.595871, 0.581339, 0.48476, 2.03383
0.406641, 0.594057, 0.584588, 0.482698, 2.03136
0.407422, 0.592247, 0.587837, 0.480642, 2.02889
0.408203, 0.590441, 0.591087, 0.478594, 2.02643
0.408984, 0.58864, 0.594337, 0.476553, 2.02396
0.409766, 0.586842, 0.597588, 0.47452, 2.0215
0.410547, 0.585049, 0.600839, 0.472493, 2.01903
0.411328, 0.58326, 0.60409, 0.470474, 2.01657
0.412109, 0.581475, 0.607342, 0.468462, 2.01411
0.412891, 0.579694, 0.610594, 0.466457, 2.01165
0.413672, 0.577918, 0.613846, 0.464459, 2.00919
0.414453, 0.576145, 0.617099, 0.462468, 2.00673
0.415234, 0.574377, 0.620352, 0.460485, 2.00428
0.416016, 0.572613, 0.623606, 0.458508, 2.00182
0.416797, 0.570853, 0.62686, 0.456539, 1.99937
0.417578, 0.569098, 0.630114, 0.454577, 1.99692
0.418359, 0.567346, 0.633368, 0.452621, 1.99447
0.419141, 0.565599, 0.636623, 0.450673, 1.99202
0.419922, 0.563856, 0.639878, 0.448732, 1.98957
0.420703, 0.562117, 0.643133, 0.446798, 1.98712
